"Official exchange rate:";02.09.2020;;;
;;;;
Valuta;Cod;Abr;Rata;Cursul
"Coroana ceha";203;CZK;1;0,7619
"Coroana daneza";208;DKK;1;2,6809
"Coroana islandeza";352;ISK;10;1,2146
"Coroana norvegiana";578;NOK;1;1,9124
"Coroana suedeza";752;SEK;1;1,9270
D.S.T.;960;XDR;1;23,6937
"Denar macedonian";807;MKD;10;3,2356
"Dinar kuweitian";414;KWD;1;54,5473
"Dinar sirb";941;RSD;100;16,9634
"Dirham E.A.U.";784;AED;1;4,5317
"Dolar Hong Kong";344;HKD;1;2,1478
"Dolar S.U.A.";840;USD;1;16,6451
"Dolar australian";036;AUD;1;12,2974
"Dolar canadian";124;CAD;1;12,8054
"Dolar neozeelandez";554;NZD;1;11,2579
"Dram armenesc";051;AMD;10;0,3421
Euro;978;EUR;1;19,9550
"Forint ungar";348;HUF;100;5,6309
"Franc elvetian";756;CHF;1;18,4097
"Hrivna ucraineana";980;UAH;1;0,6029
"Kuna croata";191;HRK;1;2,6503
"Lari georgian";981;GEL;1;5,4148
"Lek albanez";008;ALL;10;1,6030
"Leu romanesc";946;RON;1;4,1233
"Leva bulgara";975;BGN;1;10,1998
"Lira sterlina";826;GBP;1;22,4053
"Lira turceasca";949;TRY;1;2,2644
"Manat azer";944;AZN;1;9,7982
"Manat turkmen";934;TMT;1;4,7557
"Ringgit malayezian";458;MYR;1;4,0172
"Rubla belarusa";933;BYN;1;6,2705
"Rubla ruseasca";643;RUB;1;0,2263
"Rupia indiana";356;INR;10;2,2842
"Shekel israelian";376;ILS;1;4,9643
"Som kirghiz";417;KGS;10;2,1466
"Somoni tadjic";972;TJS;1;1,6129
"Sum uzbek";860;UZS;100;0,1622
"Tenghe kazah";398;KZT;10;0,3977
"Won sud-coreean";410;KRW;100;1,4068
"Yen japonez";392;JPY;100;15,7289
"Yuan Renminbi chinezesc";156;CNY;1;2,4405
"Zlot polonez";985;PLN;1;4,5441

"Sursa datelor:";BNM
Data:;02.09.2020
Ora:;01:48
